,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12
game: 60,0.0,0.0,0.0,31.25,27.77777777777778,27.27272727272727,42.10526315789473,25.0,30.000000000000004,,,,
game: 61,0.0,0.0,19.999999999999996,29.411764705882348,40.74074074074075,23.529411764705888,43.333333333333336,,,,,,
game: 62,0.0,0.0,19.999999999999996,27.27272727272727,16.666666666666664,25.0,28.57142857142857,35.0,62.5,,,,
game: 63,0.0,0.0,14.28571428571429,27.27272727272727,29.411764705882348,,,,,,,,
game: 64,0.0,0.0,18.181818181818176,12.5,35.0,52.17391304347826,51.61290322580645,35.71428571428571,25.0,,,,
game: 65,0.0,0.0,0.0,25.0,32.14285714285714,58.41584158415842,44.827586206896555,,,,,,
game: 66,0.0,0.0,0.0,12.5,19.999999999999996,23.529411764705888,22.22222222222222,30.76923076923077,,,,,
game: 67,0.0,0.0,15.384615384615385,25.0,25.0,12.5,18.75,37.5,33.333333333333336,,,,
game: 68,0.0,0.0,0.0,12.5,17.647058823529417,31.25,47.61904761904761,19.999999999999996,37.5,,,,
game: 69,25.0,0.0,0.0,25.0,19.999999999999996,19.999999999999996,,,,,,,
game: 70,0.0,0.0,16.666666666666664,12.5,22.22222222222222,23.076923076923073,54.28571428571429,30.000000000000004,,,,,
game: 71,19.999999999999996,0.0,23.076923076923073,12.5,32.25806451612904,26.315789473684216,41.666666666666664,30.76923076923077,30.000000000000004,,,,
game: 72,0.0,0.0,0.0,21.42857142857143,31.818181818181824,41.30434782608695,36.0,,,,,,
game: 73,19.999999999999996,0.0,0.0,25.0,23.076923076923073,23.076923076923073,28.57142857142857,31.57894736842105,,,,,
game: 74,0.0,0.0,0.0,15.384615384615385,25.0,55.55555555555556,47.82608695652174,30.000000000000004,25.0,,,,
game: 75,0.0,0.0,0.0,29.411764705882348,25.0,31.25,37.5,,,,,,
game: 76,0.0,0.0,0.0,0.0,22.22222222222222,23.076923076923073,28.57142857142857,44.11764705882353,,,,,
game: 77,0.0,0.0,22.22222222222222,0.0,28.57142857142857,27.27272727272727,26.66666666666667,,,,,,
game: 78,0.0,0.0,0.0,0.0,25.0,22.22222222222222,42.85714285714286,48.14814814814815,,,,,
game: 79,0.0,0.0,0.0,26.315789473684216,29.411764705882348,26.66666666666667,40.54054054054054,,,,,,
game: 80,0.0,0.0,0.0,23.076923076923073,25.0,42.307692307692314,30.76923076923077,30.76923076923077,47.22222222222222,48.64864864864865,45.45454545454546,55.55555555555556,
game: 81,19.999999999999996,0.0,0.0,14.28571428571429,31.25,19.999999999999996,28.57142857142857,38.46153846153846,33.333333333333336,37.5,19.999999999999996,,
game: 82,0.0,0.0,0.0,26.315789473684216,33.333333333333336,27.27272727272727,,,,,,,
game: 83,19.999999999999996,0.0,16.666666666666664,14.28571428571429,14.28571428571429,19.999999999999996,,,,,,,
game: 84,0.0,0.0,22.22222222222222,0.0,16.666666666666664,48.0,38.46153846153846,27.27272727272727,,,,,
game: 85,19.999999999999996,0.0,0.0,23.076923076923073,29.411764705882348,,,,,,,,
game: 86,0.0,0.0,0.0,27.27272727272727,48.71794871794872,40.0,28.57142857142857,27.27272727272727,46.42857142857143,40.74074074074075,37.5,,
game: 87,19.999999999999996,0.0,0.0,14.28571428571429,29.411764705882348,23.076923076923073,40.0,40.0,,,,,
game: 88,0.0,0.0,12.5,16.666666666666664,16.666666666666664,31.25,27.77777777777778,,,,,,
game: 89,0.0,0.0,11.111111111111116,12.5,30.000000000000004,43.75,,,,,,,
game: 90,0.0,0.0,0.0,25.0,36.111111111111114,31.25,37.03703703703704,31.25,,,,,
game: 91,19.999999999999996,0.0,0.0,12.5,23.076923076923073,,,,,,,,
game: 92,0.0,0.0,0.0,9.999999999999998,21.42857142857143,29.166666666666664,36.8421052631579,44.99999999999999,,,,,
game: 93,25.0,0.0,0.0,26.66666666666667,25.0,28.57142857142857,42.85714285714286,40.90909090909091,30.76923076923077,,,,
game: 94,0.0,0.0,19.999999999999996,23.076923076923073,19.999999999999996,23.529411764705888,23.809523809523814,38.46153846153846,27.27272727272727,,,,
game: 95,0.0,0.0,19.999999999999996,0.0,14.28571428571429,19.999999999999996,,,,,,,
game: 96,0.0,0.0,0.0,23.076923076923073,40.54054054054054,25.92592592592593,47.82608695652174,,,,,,
game: 97,19.999999999999996,0.0,0.0,11.111111111111116,33.333333333333336,39.21568627450981,36.111111111111114,55.55555555555556,70.3883495145631,,,,
game: 98,0.0,0.0,22.22222222222222,12.5,19.999999999999996,30.434782608695656,37.03703703703704,47.5,43.47826086956522,50.0,50.0,,
game: 99,0.0,0.0,18.181818181818176,0.0,19.999999999999996,27.27272727272727,,,,,,,
