,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21
game: 85,2,6,6,19,14,38,255.0,20.0,61.0,26.0,54.0,23.0,10.0,,,,,,,,,
game: 86,1,3,4,7,8,29,21.0,35.0,34.0,26.0,13.0,35.0,84.0,10.0,16.0,,,,,,,
game: 87,2,4,6,14,18,17,90.0,,,,,,,,,,,,,,,
game: 88,1,3,4,5,11,24,13.0,70.0,44.0,29.0,,,,,,,,,,,,
game: 89,2,4,5,14,17,6,30.0,,,,,,,,,,,,,,,
game: 90,1,4,4,12,13,18,21.0,10.0,12.0,15.0,10.0,10.0,35.0,13.0,41.0,65.0,16.0,2.0,2.0,2.0,,
game: 91,2,3,4,5,11,30,16.0,14.0,60.0,39.0,45.0,107.0,54.0,21.0,16.0,5.0,5.0,,,,,
game: 92,1,3,5,7,13,15,17.0,,,,,,,,,,,,,,,
game: 93,2,3,5,12,17,16,14.0,10.0,,,,,,,,,,,,,,
game: 94,1,4,4,12,13,10,21.0,76.0,,,,,,,,,,,,,,
game: 95,2,5,7,19,25,46,98.0,18.0,19.0,27.0,90.0,10.0,10.0,5.0,16.0,5.0,5.0,2.0,2.0,2.0,,
game: 96,1,4,5,14,19,37,31.0,19.0,,,,,,,,,,,,,,
game: 97,2,4,5,13,25,24,59.0,,,,,,,,,,,,,,,
game: 98,1,2,3,5,6,15,12.0,52.0,67.0,92.0,,,,,,,,,,,,
game: 99,2,4,5,12,12,30,17.0,7.0,98.0,63.0,40.0,21.0,8.0,,,,,,,,,
